"condition","marker","day","mean","sd","n"
"Condition 3","cccDNA",39,78051527.0833333,4450027.79637269,3
"Condition 3","cccDNA",42,79486235.4166667,12216948.8473946,3
"Condition 3","cccDNA",48,56160880.2083333,5279443.81970425,3
"Condition 3","cccDNA",54,36190014.5833333,2657427.1665193,3
"Condition 3","cccDNA",60,23608747.3958333,2850045.42136842,3
"Condition 4","Intracellular HBV DNA",2,330833.333333333,86470.1297173384,3
"Condition 4","Intracellular HBV DNA",4,26858333.3333333,3361206.38065165,3
"Condition 4","Intracellular HBV DNA",6,445833333.333333,121715172.979105,3
"Condition 4","Intracellular HBV DNA",9,1947500000,608948889.480882,3
"Condition 4","Intracellular HBV DNA",12,3950833333.33333,1473750176.70341,3
"Condition 4","Intracellular HBV DNA",18,4041666666.66667,128290035.986172,3
"Condition 4","Intracellular HBV DNA",24,3.05e+09,438035386.698381,3
"Condition 4","Intracellular HBV DNA",30,4164114687.5,297745058.695584,3
"Condition 4","Intracellular HBV DNA",32,2738768541.66667,405813987.457969,3
"Condition 4","Intracellular HBV DNA",34,2820642083.33333,116883333.434661,3
"Condition 4","Intracellular HBV DNA",36,2076969739.58333,209459784.980915,3
"Condition 4","Intracellular HBV DNA",39,1792154583.33333,239064902.765005,3
"Condition 4","Intracellular HBV DNA",42,2212548281.25,755945286.202101,3
"Condition 4","Intracellular HBV DNA",48,3036476666.66667,998964924.64772,3
"Condition 4","Intracellular HBV DNA",54,1480452057.29167,420918706.199431,3
"Condition 4","Intracellular HBV DNA",60,1598869348.95833,425607310.057556,3
"Condition 4","cccDNA",2,65968.642171224,4995.12093170538,3
"Condition 4","cccDNA",4,312184.187825521,53231.4595116137,3
"Condition 4","cccDNA",6,5371690.234375,1005942.92815454,3
"Condition 4","cccDNA",9,33923725,3249137.51499046,3
"Condition 4","cccDNA",12,85874416.6666667,4660947.65506911,3
"Condition 4","cccDNA",18,158406441.666667,19920846.437802,3
"Condition 4","cccDNA",24,162969900,27444966.3127981,3
"Condition 4","cccDNA",30,167965150,1163109.27360405,3
"Condition 4","cccDNA",32,113210341.666667,18925495.0208225,3
"Condition 4","cccDNA",34,124706350,5657738.01398083,3
"Condition 4","cccDNA",36,103770058.333333,4910583.43841524,3
"Condition 4","cccDNA",39,93568141.6666667,2258067.776454,3
"Condition 4","cccDNA",42,117023956.25,18473946.3251936,3
"Condition 4","cccDNA",48,68186195.8333333,15727577.2844558,3
"Condition 4","cccDNA",54,50108271.875,3514153.10503053,3
"Condition 4","cccDNA",60,57501833.3333333,9626687.14841459,3
"Condition 5","Intracellular HBV DNA",2,241531.155904134,70160.6178120236,3
"Condition 5","Intracellular HBV DNA",4,284711.100260417,47416.7715721202,3
"Condition 5","Intracellular HBV DNA",6,3191347.96142578,212741.844364694,3
"Condition 5","Intracellular HBV DNA",9,8594664.1031901,2154624.06387116,3
"Condition 5","Intracellular HBV DNA",12,5247704.36604818,216484.43772325,3
"Condition 5","Intracellular HBV DNA",18,9405976.15559896,3559494.78257977,3
"Condition 5","Intracellular HBV DNA",24,3167662.40437826,797260.625486523,3
"Condition 5","Intracellular HBV DNA",30,3504290.16113281,224776.064516895,3
"Condition 5","Intracellular HBV DNA",32,3107912.49593099,212233.167368234,3
"Condition 5","Intracellular HBV DNA",34,4292986.45019531,427746.51238104,3
"Condition 5","Intracellular HBV DNA",36,3192254.02832031,263938.154465888,3
"Condition 5","Intracellular HBV DNA",39,3685266.11328125,371881.652462359,3
"Condition 5","Intracellular HBV DNA",42,5959401.75374349,812458.113604203,3
"Condition 5","Intracellular HBV DNA",48,1840425.3133138,116936.867907497,3
"Condition 5","Intracellular HBV DNA",54,1996287.74007161,160381.079647988,3
"Condition 5","Intracellular HBV DNA",60,1674350.17903646,74428.9481097766,3
"Condition 5","cccDNA",2,55885.8052571615,6742.38235684454,3
"Condition 5","cccDNA",4,133468.426513672,42804.0244276472,3
"Condition 5","cccDNA",6,170266.153971354,31994.7970962623,3
"Condition 5","cccDNA",9,276296.752929688,95647.1542362268,3
"Condition 5","cccDNA",12,189891.251627604,37172.033758687,3
"Condition 5","cccDNA",18,336096.720377604,92361.6658142183,3
"Condition 5","cccDNA",24,60644.6197509766,11227.7080694746,3
"Condition 5","cccDNA",30,265482.861328125,22621.0126162039,3
"Condition 5","cccDNA",32,252729.191080729,6457.38477184924,3
"Condition 5","cccDNA",34,289727.677408854,45267.2415013807,3
"Condition 5","cccDNA",36,199134.932454427,8627.3371353367,3
"Condition 5","cccDNA",39,333605.025227865,134718.369227743,3
"Condition 5","cccDNA",42,533397.005208333,108650.185614107,3
"Condition 5","cccDNA",48,406943.367513021,226241.346279802,3
"Condition 5","cccDNA",54,660040.152994792,181632.039333185,3
"Condition 5","cccDNA",60,432868.090820312,118739.72040856,3
"Condition 6","Intracellular HBV DNA",2,330833.333333333,86470.1297173384,3
"Condition 6","Intracellular HBV DNA",4,26858333.3333333,3361206.38065165,3
