"day","replicate","copies_per_well","condition","marker"
24,"Replicate 3",3498365.78369141,"Condition 2","Intracellular HBV DNA"
30,"Replicate 1",4256097.41210938,"Condition 2","Intracellular HBV DNA"
30,"Replicate 2",3728512.57324219,"Condition 2","Intracellular HBV DNA"
30,"Replicate 3",4275898.74267578,"Condition 2","Intracellular HBV DNA"
36,"Replicate 1",3855273.13232422,"Condition 2","Intracellular HBV DNA"
36,"Replicate 2",4023594.97070312,"Condition 2","Intracellular HBV DNA"
36,"Replicate 3",8900820.3125,"Condition 2","Intracellular HBV DNA"
42,"Replicate 1",5645979.61425781,"Condition 2","Intracellular HBV DNA"
42,"Replicate 2",5219028.93066406,"Condition 2","Intracellular HBV DNA"
42,"Replicate 3",5447951.66015625,"Condition 2","Intracellular HBV DNA"
48,"Replicate 1",2851750.18310547,"Condition 2","Intracellular HBV DNA"
48,"Replicate 2",2778338.31787109,"Condition 2","Intracellular HBV DNA"
48,"Replicate 3",2688721.61865234,"Condition 2","Intracellular HBV DNA"
54,"Replicate 1",3786306.15234375,"Condition 2","Intracellular HBV DNA"
54,"Replicate 2",2827464.59960938,"Condition 2","Intracellular HBV DNA"
54,"Replicate 3",3960762.63427734,"Condition 2","Intracellular HBV DNA"
60,"Replicate 1",4375626.83105469,"Condition 2","Intracellular HBV DNA"
60,"Replicate 2",4663933.10546875,"Condition 2","Intracellular HBV DNA"
60,"Replicate 3",5762588.50097656,"Condition 2","Intracellular HBV DNA"
2,"Replicate 1",312500,"Condition 3","Intracellular HBV DNA"
2,"Replicate 2",425000,"Condition 3","Intracellular HBV DNA"
2,"Replicate 3",255000,"Condition 3","Intracellular HBV DNA"
4,"Replicate 1",29500000,"Condition 3","Intracellular HBV DNA"
4,"Replicate 2",2.8e+07,"Condition 3","Intracellular HBV DNA"
4,"Replicate 3",23075000,"Condition 3","Intracellular HBV DNA"
6,"Replicate 1",342500000,"Condition 3","Intracellular HBV DNA"
6,"Replicate 2",4.15e+08,"Condition 3","Intracellular HBV DNA"
6,"Replicate 3",5.8e+08,"Condition 3","Intracellular HBV DNA"
9,"Replicate 1",1622500000,"Condition 3","Intracellular HBV DNA"
9,"Replicate 2",2.65e+09,"Condition 3","Intracellular HBV DNA"
9,"Replicate 3",1.57e+09,"Condition 3","Intracellular HBV DNA"
12,"Replicate 1",2477500000,"Condition 3","Intracellular HBV DNA"
12,"Replicate 2",3.95e+09,"Condition 3","Intracellular HBV DNA"
12,"Replicate 3",5.425e+09,"Condition 3","Intracellular HBV DNA"
18,"Replicate 1",3.9e+09,"Condition 3","Intracellular HBV DNA"
18,"Replicate 2",4.15e+09,"Condition 3","Intracellular HBV DNA"
18,"Replicate 3",4.075e+09,"Condition 3","Intracellular HBV DNA"
24,"Replicate 1",2.6e+09,"Condition 3","Intracellular HBV DNA"
24,"Replicate 2",3.075e+09,"Condition 3","Intracellular HBV DNA"
24,"Replicate 3",3.475e+09,"Condition 3","Intracellular HBV DNA"
30,"Replicate 1",3938673750,"Condition 3","Intracellular HBV DNA"
30,"Replicate 2",4052036562.5,"Condition 3","Intracellular HBV DNA"
30,"Replicate 3",4501633750,"Condition 3","Intracellular HBV DNA"
32,"Replicate 1",2122497500,"Condition 3","Intracellular HBV DNA"
32,"Replicate 2",2020968437.5,"Condition 3","Intracellular HBV DNA"
32,"Replicate 3",2210734218.75,"Condition 3","Intracellular HBV DNA"
34,"Replicate 1",2323780625,"Condition 3","Intracellular HBV DNA"
34,"Replicate 2",2706677812.5,"Condition 3","Intracellular HBV DNA"
34,"Replicate 3",2675813437.5,"Condition 3","Intracellular HBV DNA"
36,"Replicate 1",1288800390.625,"Condition 3","Intracellular HBV DNA"
36,"Replicate 2",1416612031.25,"Condition 3","Intracellular HBV DNA"
36,"Replicate 3",1791568281.25,"Condition 3","Intracellular HBV DNA"
39,"Replicate 1",1329804687.5,"Condition 3","Intracellular HBV DNA"
39,"Replicate 2",1372773593.75,"Condition 3","Intracellular HBV DNA"
39,"Replicate 3",1280883203.125,"Condition 3","Intracellular HBV DNA"
42,"Replicate 1",1254049140.625,"Condition 3","Intracellular HBV DNA"
42,"Replicate 2",1269268359.375,"Condition 3","Intracellular HBV DNA"
42,"Replicate 3",1927888281.25,"Condition 3","Intracellular HBV DNA"
48,"Replicate 1",1254788203.125,"Condition 3","Intracellular HBV DNA"
48,"Replicate 2",1550036093.75,"Condition 3","Intracellular HBV DNA"
48,"Replicate 3",2231026093.75,"Condition 3","Intracellular HBV DNA"
54,"Replicate 1",779452500,"Condition 3","Intracellular HBV DNA"
54,"Replicate 2",1122336484.375,"Condition 3","Intracellular HBV DNA"
54,"Replicate 3",903363906.25,"Condition 3","Intracellular HBV DNA"
60,"Replicate 1",918213593.75,"Condition 3","Intracellular HBV DNA"
60,"Replicate 2",577919414.0625,"Condition 3","Intracellular HBV DNA"
60,"Replicate 3",970899531.25,"Condition 3","Intracellular HBV DNA"
2,"Replicate 1",312500,"Condition 4","Intracellular HBV DNA"
2,"Replicate 2",425000,"Condition 4","Intracellular HBV DNA"
2,"Replicate 3",255000,"Condition 4","Intracellular HBV DNA"
4,"Replicate 1",29500000,"Condition 4","Intracellular HBV DNA"
4,"Replicate 2",2.8e+07,"Condition 4","Intracellular HBV DNA"
4,"Replicate 3",23075000,"Condition 4","Intracellular HBV DNA"
6,"Replicate 1",342500000,"Condition 4","Intracellular HBV DNA"
6,"Replicate 2",4.15e+08,"Condition 4","Intracellular HBV DNA"
6,"Replicate 3",5.8e+08,"Condition 4","Intracellular HBV DNA"
9,"Replicate 1",1622500000,"Condition 4","Intracellular HBV DNA"
9,"Replicate 2",2.65e+09,"Condition 4","Intracellular HBV DNA"
9,"Replicate 3",1.57e+09,"Condition 4","Intracellular HBV DNA"
12,"Replicate 1",2477500000,"Condition 4","Intracellular HBV DNA"
12,"Replicate 2",3.95e+09,"Condition 4","Intracellular HBV DNA"
12,"Replicate 3",5.425e+09,"Condition 4","Intracellular HBV DNA"
18,"Replicate 1",3.9e+09,"Condition 4","Intracellular HBV DNA"
18,"Replicate 2",4.15e+09,"Condition 4","Intracellular HBV DNA"
18,"Replicate 3",4.075e+09,"Condition 4","Intracellular HBV DNA"
24,"Replicate 1",2.6e+09,"Condition 4","Intracellular HBV DNA"
24,"Replicate 2",3.075e+09,"Condition 4","Intracellular HBV DNA"
24,"Replicate 3",3.475e+09,"Condition 4","Intracellular HBV DNA"
30,"Replicate 1",3938673750,"Condition 4","Intracellular HBV DNA"
30,"Replicate 2",4052036562.5,"Condition 4","Intracellular HBV DNA"
30,"Replicate 3",4501633750,"Condition 4","Intracellular HBV DNA"
32,"Replicate 1",2397558750,"Condition 4","Intracellular HBV DNA"
32,"Replicate 2",2631224375,"Condition 4","Intracellular HBV DNA"
32,"Replicate 3",3187522500,"Condition 4","Intracellular HBV DNA"
34,"Replicate 1",2689362812.5,"Condition 4","Intracellular HBV DNA"
34,"Replicate 2",2913411562.5,"Condition 4","Intracellular HBV DNA"
34,"Replicate 3",2859151875,"Condition 4","Intracellular HBV DNA"
36,"Replicate 1",2254019218.75,"Condition 4","Intracellular HBV DNA"
36,"Replicate 2",1845744218.75,"Condition 4","Intracellular HBV DNA"
36,"Replicate 3",2131145781.25,"Condition 4","Intracellular HBV DNA"
39,"Replicate 1",1617027968.75,"Condition 4","Intracellular HBV DNA"
39,"Replicate 2",1694920625,"Condition 4","Intracellular HBV DNA"
39,"Replicate 3",2064515156.25,"Condition 4","Intracellular HBV DNA"
42,"Replicate 1",3083760000,"Condition 4","Intracellular HBV DNA"
42,"Replicate 2",1823802656.25,"Condition 4","Intracellular HBV DNA"
42,"Replicate 3",1730082187.5,"Condition 4","Intracellular HBV DNA"
48,"Replicate 1",4186983125,"Condition 4","Intracellular HBV DNA"
48,"Replicate 2",2533210156.25,"Condition 4","Intracellular HBV DNA"
48,"Replicate 3",2389236718.75,"Condition 4","Intracellular HBV DNA"
54,"Replicate 1",1065759140.625,"Condition 4","Intracellular HBV DNA"
54,"Replicate 2",1468265156.25,"Condition 4","Intracellular HBV DNA"
54,"Replicate 3",1907331875,"Condition 4","Intracellular HBV DNA"
60,"Replicate 1",1596870312.5,"Condition 4","Intracellular HBV DNA"
60,"Replicate 2",2025472656.25,"Condition 4","Intracellular HBV DNA"
60,"Replicate 3",1174265078.125,"Condition 4","Intracellular HBV DNA"
2,"Replicate 1",243872.509002686,"Condition 5","Intracellular HBV DNA"
2,"Replicate 2",170229.167938232,"Condition 5","Intracellular HBV DNA"
2,"Replicate 3",310491.790771484,"Condition 5","Intracellular HBV DNA"
4,"Replicate 1",289853.229522705,"Condition 5","Intracellular HBV DNA"
4,"Replicate 2",234932.842254639,"Condition 5","Intracellular HBV DNA"
4,"Replicate 3",329347.229003906,"Condition 5","Intracellular HBV DNA"
6,"Replicate 1",3065050.65917969,"Condition 5","Intracellular HBV DNA"
6,"Replicate 2",3072025.14648438,"Condition 5","Intracellular HBV DNA"
6,"Replicate 3",3436968.07861328,"Condition 5","Intracellular HBV DNA"
9,"Replicate 1",7261039.42871094,"Condition 5","Intracellular HBV DNA"
9,"Replicate 2",11080401.6113281,"Condition 5","Intracellular HBV DNA"
9,"Replicate 3",7442551.26953125,"Condition 5","Intracellular HBV DNA"
12,"Replicate 1",5181051.63574219,"Condition 5","Intracellular HBV DNA"
12,"Replicate 2",5489677.734375,"Condition 5","Intracellular HBV DNA"
12,"Replicate 3",5072383.72802734,"Condition 5","Intracellular HBV DNA"
18,"Replicate 1",7463432.00683594,"Condition 5","Intracellular HBV DNA"
18,"Replicate 2",7240387.57324219,"Condition 5","Intracellular HBV DNA"
18,"Replicate 3",13514108.8867188,"Condition 5","Intracellular HBV DNA"
24,"Replicate 1",2258267.05932617,"Condition 5","Intracellular HBV DNA"
24,"Replicate 2",3746354.37011719,"Condition 5","Intracellular HBV DNA"
24,"Replicate 3",3498365.78369141,"Condition 5","Intracellular HBV DNA"
30,"Replicate 1",3762008.97216797,"Condition 5","Intracellular HBV DNA"
30,"Replicate 2",3348784.1796875,"Condition 5","Intracellular HBV DNA"
30,"Replicate 3",3402077.33154297,"Condition 5","Intracellular HBV DNA"
32,"Replicate 1",2883177.79541016,"Condition 5","Intracellular HBV DNA"
32,"Replicate 2",3304918.21289062,"Condition 5","Intracellular HBV DNA"
32,"Replicate 3",3135641.47949219,"Condition 5","Intracellular HBV DNA"
34,"Replicate 1",3799723.51074219,"Condition 5","Intracellular HBV DNA"
34,"Replicate 2",4561659.54589844,"Condition 5","Intracellular HBV DNA"
34,"Replicate 3",4517576.29394531,"Condition 5","Intracellular HBV DNA"
36,"Replicate 1",2961780.09033203,"Condition 5","Intracellular HBV DNA"
36,"Replicate 2",3480189.20898438,"Condition 5","Intracellular HBV DNA"
36,"Replicate 3",3134792.78564453,"Condition 5","Intracellular HBV DNA"
39,"Replicate 1",4086730.34667969,"Condition 5","Intracellular HBV DNA"
39,"Replicate 2",3616502.99072266,"Condition 5","Intracellular HBV DNA"
39,"Replicate 3",3352565.00244141,"Condition 5","Intracellular HBV DNA"
42,"Replicate 1",5086753.84521484,"Condition 5","Intracellular HBV DNA"
42,"Replicate 2",6693974.609375,"Condition 5","Intracellular HBV DNA"
42,"Replicate 3",6097476.80664062,"Condition 5","Intracellular HBV DNA"
48,"Replicate 1",1707897.64404297,"Condition 5","Intracellular HBV DNA"
48,"Replicate 2",1884293.97583008,"Condition 5","Intracellular HBV DNA"
48,"Replicate 3",1929084.32006836,"Condition 5","Intracellular HBV DNA"
54,"Replicate 1",2084132.69042969,"Condition 5","Intracellular HBV DNA"
54,"Replicate 2",1811175.53710938,"Condition 5","Intracellular HBV DNA"
54,"Replicate 3",2093554.99267578,"Condition 5","Intracellular HBV DNA"
60,"Replicate 1",1622704.62036133,"Condition 5","Intracellular HBV DNA"
60,"Replicate 2",1640681.61010742,"Condition 5","Intracellular HBV DNA"
60,"Replicate 3",1759664.30664062,"Condition 5","Intracellular HBV DNA"
2,"Replicate 1",312500,"Condition 6","Intracellular HBV DNA"
2,"Replicate 2",425000,"Condition 6","Intracellular HBV DNA"
2,"Replicate 3",255000,"Condition 6","Intracellular HBV DNA"
4,"Replicate 1",29500000,"Condition 6","Intracellular HBV DNA"
4,"Replicate 2",2.8e+07,"Condition 6","Intracellular HBV DNA"
4,"Replicate 3",23075000,"Condition 6","Intracellular HBV DNA"
6,"Replicate 1",342500000,"Condition 6","Intracellular HBV DNA"
6,"Replicate 2",4.15e+08,"Condition 6","Intracellular HBV DNA"
6,"Replicate 3",5.8e+08,"Condition 6","Intracellular HBV DNA"
9,"Replicate 1",1622500000,"Condition 6","Intracellular HBV DNA"
9,"Replicate 2",2.65e+09,"Condition 6","Intracellular HBV DNA"
9,"Replicate 3",1.57e+09,"Condition 6","Intracellular HBV DNA"
12,"Replicate 1",2477500000,"Condition 6","Intracellular HBV DNA"
12,"Replicate 2",3.95e+09,"Condition 6","Intracellular HBV DNA"
12,"Replicate 3",5.425e+09,"Condition 6","Intracellular HBV DNA"
18,"Replicate 1",3.9e+09,"Condition 6","Intracellular HBV DNA"
18,"Replicate 2",4.15e+09,"Condition 6","Intracellular HBV DNA"
18,"Replicate 3",4.075e+09,"Condition 6","Intracellular HBV DNA"
24,"Replicate 1",2.6e+09,"Condition 6","Intracellular HBV DNA"
24,"Replicate 2",3.075e+09,"Condition 6","Intracellular HBV DNA"
24,"Replicate 3",3.475e+09,"Condition 6","Intracellular HBV DNA"
30,"Replicate 1",3353583437.5,"Condition 6","Intracellular HBV DNA"
30,"Replicate 2",3286212187.5,"Condition 6","Intracellular HBV DNA"
30,"Replicate 3",3652623750,"Condition 6","Intracellular HBV DNA"
32,"Replicate 1",2122497500,"Condition 6","Intracellular HBV DNA"
32,"Replicate 2",2020968437.5,"Condition 6","Intracellular HBV DNA"
32,"Replicate 3",2210734218.75,"Condition 6","Intracellular HBV DNA"
34,"Replicate 1",2323780625,"Condition 6","Intracellular HBV DNA"
34,"Replicate 2",2706677812.5,"Condition 6","Intracellular HBV DNA"
34,"Replicate 3",2675813437.5,"Condition 6","Intracellular HBV DNA"
36,"Replicate 1",1288800390.625,"Condition 6","Intracellular HBV DNA"
36,"Replicate 2",1416612031.25,"Condition 6","Intracellular HBV DNA"
36,"Replicate 3",1791568281.25,"Condition 6","Intracellular HBV DNA"
39,"Replicate 1",1329804687.5,"Condition 6","Intracellular HBV DNA"
39,"Replicate 2",1372773593.75,"Condition 6","Intracellular HBV DNA"
39,"Replicate 3",1280883203.125,"Condition 6","Intracellular HBV DNA"
42,"Replicate 1",1254049140.625,"Condition 6","Intracellular HBV DNA"
42,"Replicate 2",1269268359.375,"Condition 6","Intracellular HBV DNA"
42,"Replicate 3",1927888281.25,"Condition 6","Intracellular HBV DNA"
45,"Replicate 1",333142382.8125,"Condition 6","Intracellular HBV DNA"
45,"Replicate 2",618950000,"Condition 6","Intracellular HBV DNA"
45,"Replicate 3",963728593.75,"Condition 6","Intracellular HBV DNA"
47,"Replicate 1",644311562.5,"Condition 6","Intracellular HBV DNA"
47,"Replicate 2",588164140.625,"Condition 6","Intracellular HBV DNA"
47,"Replicate 3",667016875,"Condition 6","Intracellular HBV DNA"
49,"Replicate 1",601818164.0625,"Condition 6","Intracellular HBV DNA"
49,"Replicate 2",528257187.5,"Condition 6","Intracellular HBV DNA"
49,"Replicate 3",511951679.6875,"Condition 6","Intracellular HBV DNA"
51,"Replicate 1",651694921.875,"Condition 6","Intracellular HBV DNA"
51,"Replicate 2",826287656.25,"Condition 6","Intracellular HBV DNA"
51,"Replicate 3",1103200234.375,"Condition 6","Intracellular HBV DNA"
54,"Replicate 1",695984531.25,"Condition 6","Intracellular HBV DNA"
54,"Replicate 2",820123281.25,"Condition 6","Intracellular HBV DNA"
54,"Replicate 3",720985234.375,"Condition 6","Intracellular HBV DNA"
57,"Replicate 1",566044375,"Condition 6","Intracellular HBV DNA"
57,"Replicate 2",576584101.5625,"Condition 6","Intracellular HBV DNA"
57,"Replicate 3",613069375,"Condition 6","Intracellular HBV DNA"
60,"Replicate 1",514286953.125,"Condition 6","Intracellular HBV DNA"
60,"Replicate 2",651094375,"Condition 6","Intracellular HBV DNA"
60,"Replicate 3",407943320.3125,"Condition 6","Intracellular HBV DNA"
2,"Replicate 1",312500,"Condition 7","Intracellular HBV DNA"
2,"Replicate 2",425000,"Condition 7","Intracellular HBV DNA"
2,"Replicate 3",255000,"Condition 7","Intracellular HBV DNA"
4,"Replicate 1",29500000,"Condition 7","Intracellular HBV DNA"
4,"Replicate 2",2.8e+07,"Condition 7","Intracellular HBV DNA"
4,"Replicate 3",23075000,"Condition 7","Intracellular HBV DNA"
6,"Replicate 1",342500000,"Condition 7","Intracellular HBV DNA"
6,"Replicate 2",4.15e+08,"Condition 7","Intracellular HBV DNA"
6,"Replicate 3",5.8e+08,"Condition 7","Intracellular HBV DNA"
9,"Replicate 1",1622500000,"Condition 7","Intracellular HBV DNA"
9,"Replicate 2",2.65e+09,"Condition 7","Intracellular HBV DNA"
9,"Replicate 3",1.57e+09,"Condition 7","Intracellular HBV DNA"
12,"Replicate 1",2477500000,"Condition 7","Intracellular HBV DNA"
12,"Replicate 2",3.95e+09,"Condition 7","Intracellular HBV DNA"
12,"Replicate 3",5.425e+09,"Condition 7","Intracellular HBV DNA"
18,"Replicate 1",3.9e+09,"Condition 7","Intracellular HBV DNA"
18,"Replicate 2",4.15e+09,"Condition 7","Intracellular HBV DNA"
18,"Replicate 3",4.075e+09,"Condition 7","Intracellular HBV DNA"
24,"Replicate 1",2.6e+09,"Condition 7","Intracellular HBV DNA"
24,"Replicate 2",3.075e+09,"Condition 7","Intracellular HBV DNA"
24,"Replicate 3",3.475e+09,"Condition 7","Intracellular HBV DNA"
30,"Replicate 1",3928455937.5,"Condition 7","Intracellular HBV DNA"
30,"Replicate 2",4016028437.5,"Condition 7","Intracellular HBV DNA"
30,"Replicate 3",4032700312.5,"Condition 7","Intracellular HBV DNA"
32,"Replicate 1",2295633437.5,"Condition 7","Intracellular HBV DNA"
32,"Replicate 2",2493524375,"Condition 7","Intracellular HBV DNA"
32,"Replicate 3",2544040781.25,"Condition 7","Intracellular HBV DNA"
34,"Replicate 1",1921201562.5,"Condition 7","Intracellular HBV DNA"
34,"Replicate 2",1795809062.5,"Condition 7","Intracellular HBV DNA"
34,"Replicate 3",2148380468.75,"Condition 7","Intracellular HBV DNA"
36,"Replicate 1",1261478750,"Condition 7","Intracellular HBV DNA"
36,"Replicate 2",1532861406.25,"Condition 7","Intracellular HBV DNA"
36,"Replicate 3",1708214062.5,"Condition 7","Intracellular HBV DNA"
39,"Replicate 1",1945227656.25,"Condition 7","Intracellular HBV DNA"
39,"Replicate 2",1842850312.5,"Condition 7","Intracellular HBV DNA"
39,"Replicate 3",1974625000,"Condition 7","Intracellular HBV DNA"
42,"Replicate 1",1257136171.875,"Condition 7","Intracellular HBV DNA"
42,"Replicate 2",1277846406.25,"Condition 7","Intracellular HBV DNA"
42,"Replicate 3",1195202812.5,"Condition 7","Intracellular HBV DNA"
48,"Replicate 1",1086908828.125,"Condition 7","Intracellular HBV DNA"
48,"Replicate 2",928817109.375,"Condition 7","Intracellular HBV DNA"
48,"Replicate 3",831918906.25,"Condition 7","Intracellular HBV DNA"
54,"Replicate 1",516767109.375,"Condition 7","Intracellular HBV DNA"
54,"Replicate 2",672800000,"Condition 7","Intracellular HBV DNA"
54,"Replicate 3",685315546.875,"Condition 7","Intracellular HBV DNA"
60,"Replicate 1",669961953.125,"Condition 7","Intracellular HBV DNA"
60,"Replicate 2",720627031.25,"Condition 7","Intracellular HBV DNA"
60,"Replicate 3",708863437.5,"Condition 7","Intracellular HBV DNA"
2,"Replicate 1",312500,"Condition 8","Intracellular HBV DNA"
2,"Replicate 2",425000,"Condition 8","Intracellular HBV DNA"
2,"Replicate 3",255000,"Condition 8","Intracellular HBV DNA"
4,"Replicate 1",29500000,"Condition 8","Intracellular HBV DNA"
4,"Replicate 2",2.8e+07,"Condition 8","Intracellular HBV DNA"
4,"Replicate 3",23075000,"Condition 8","Intracellular HBV DNA"
6,"Replicate 1",342500000,"Condition 8","Intracellular HBV DNA"
6,"Replicate 2",4.15e+08,"Condition 8","Intracellular HBV DNA"
6,"Replicate 3",5.8e+08,"Condition 8","Intracellular HBV DNA"
9,"Replicate 1",1622500000,"Condition 8","Intracellular HBV DNA"
9,"Replicate 2",2.65e+09,"Condition 8","Intracellular HBV DNA"
9,"Replicate 3",1.57e+09,"Condition 8","Intracellular HBV DNA"
12,"Replicate 1",2477500000,"Condition 8","Intracellular HBV DNA"
12,"Replicate 2",3.95e+09,"Condition 8","Intracellular HBV DNA"
12,"Replicate 3",5.425e+09,"Condition 8","Intracellular HBV DNA"
18,"Replicate 1",3.9e+09,"Condition 8","Intracellular HBV DNA"
18,"Replicate 2",4.15e+09,"Condition 8","Intracellular HBV DNA"
18,"Replicate 3",4.075e+09,"Condition 8","Intracellular HBV DNA"
24,"Replicate 1",2.6e+09,"Condition 8","Intracellular HBV DNA"
24,"Replicate 2",3.075e+09,"Condition 8","Intracellular HBV DNA"
24,"Replicate 3",3.475e+09,"Condition 8","Intracellular HBV DNA"
30,"Replicate 1",3353583437.5,"Condition 8","Intracellular HBV DNA"
30,"Replicate 2",3286212187.5,"Condition 8","Intracellular HBV DNA"
30,"Replicate 3",3652623750,"Condition 8","Intracellular HBV DNA"
32,"Replicate 1",2397558750,"Condition 8","Intracellular HBV DNA"
32,"Replicate 2",2631224375,"Condition 8","Intracellular HBV DNA"
32,"Replicate 3",3187522500,"Condition 8","Intracellular HBV DNA"
34,"Replicate 1",2689362812.5,"Condition 8","Intracellular HBV DNA"
34,"Replicate 2",2913411562.5,"Condition 8","Intracellular HBV DNA"
34,"Replicate 3",2859151875,"Condition 8","Intracellular HBV DNA"
36,"Replicate 1",2254019218.75,"Condition 8","Intracellular HBV DNA"
36,"Replicate 2",1845744218.75,"Condition 8","Intracellular HBV DNA"
36,"Replicate 3",2131145781.25,"Condition 8","Intracellular HBV DNA"
39,"Replicate 1",1617027968.75,"Condition 8","Intracellular HBV DNA"
39,"Replicate 2",1694920625,"Condition 8","Intracellular HBV DNA"
39,"Replicate 3",2064515156.25,"Condition 8","Intracellular HBV DNA"
42,"Replicate 1",3083760000,"Condition 8","Intracellular HBV DNA"
42,"Replicate 2",1823802656.25,"Condition 8","Intracellular HBV DNA"
42,"Replicate 3",1730082187.5,"Condition 8","Intracellular HBV DNA"
45,"Replicate 1",1366765312.5,"Condition 8","Intracellular HBV DNA"
45,"Replicate 2",1373775468.75,"Condition 8","Intracellular HBV DNA"
45,"Replicate 3",1371800468.75,"Condition 8","Intracellular HBV DNA"
47,"Replicate 1",1023627812.5,"Condition 8","Intracellular HBV DNA"
47,"Replicate 2",970862656.25,"Condition 8","Intracellular HBV DNA"
47,"Replicate 3",938105546.875,"Condition 8","Intracellular HBV DNA"
49,"Replicate 1",707569765.625,"Condition 8","Intracellular HBV DNA"
49,"Replicate 2",771211640.625,"Condition 8","Intracellular HBV DNA"
49,"Replicate 3",1015036562.5,"Condition 8","Intracellular HBV DNA"
51,"Replicate 1",684582734.375,"Condition 8","Intracellular HBV DNA"
51,"Replicate 2",605910351.5625,"Condition 8","Intracellular HBV DNA"
51,"Replicate 3",629807968.75,"Condition 8","Intracellular HBV DNA"
54,"Replicate 1",1282727968.75,"Condition 8","Intracellular HBV DNA"
54,"Replicate 2",1340054062.5,"Condition 8","Intracellular HBV DNA"
54,"Replicate 3",764138281.25,"Condition 8","Intracellular HBV DNA"
57,"Replicate 1",638619375,"Condition 8","Intracellular HBV DNA"
57,"Replicate 2",784496093.75,"Condition 8","Intracellular HBV DNA"
57,"Replicate 3",779873906.25,"Condition 8","Intracellular HBV DNA"
60,"Replicate 1",774258828.125,"Condition 8","Intracellular HBV DNA"
60,"Replicate 2",642896718.75,"Condition 8","Intracellular HBV DNA"
60,"Replicate 3",796898437.5,"Condition 8","Intracellular HBV DNA"
