"day","replicate","copies_per_well","condition","marker"
12,"Replicate 2",88052343.75,"Condition 3","cccDNA"
12,"Replicate 3",89047718.75,"Condition 3","cccDNA"
18,"Replicate 1",144855675,"Condition 3","cccDNA"
18,"Replicate 2",181279112.5,"Condition 3","cccDNA"
18,"Replicate 3",149084537.5,"Condition 3","cccDNA"
24,"Replicate 1",134254225,"Condition 3","cccDNA"
24,"Replicate 2",188937375,"Condition 3","cccDNA"
24,"Replicate 3",165718100,"Condition 3","cccDNA"
30,"Replicate 1",168848787.5,"Condition 3","cccDNA"
30,"Replicate 2",166647425,"Condition 3","cccDNA"
30,"Replicate 3",168399237.5,"Condition 3","cccDNA"
32,"Replicate 1",98839325,"Condition 3","cccDNA"
32,"Replicate 2",94669406.25,"Condition 3","cccDNA"
32,"Replicate 3",104655168.75,"Condition 3","cccDNA"
34,"Replicate 1",97461768.75,"Condition 3","cccDNA"
34,"Replicate 2",104111806.25,"Condition 3","cccDNA"
34,"Replicate 3",109696087.5,"Condition 3","cccDNA"
36,"Replicate 1",81250568.75,"Condition 3","cccDNA"
36,"Replicate 2",82727856.25,"Condition 3","cccDNA"
36,"Replicate 3",99798187.5,"Condition 3","cccDNA"
39,"Replicate 1",76350406.25,"Condition 3","cccDNA"
39,"Replicate 2",74702993.75,"Condition 3","cccDNA"
39,"Replicate 3",83101181.25,"Condition 3","cccDNA"
42,"Replicate 1",92714637.5,"Condition 3","cccDNA"
42,"Replicate 2",77115956.25,"Condition 3","cccDNA"
42,"Replicate 3",68628112.5,"Condition 3","cccDNA"
48,"Replicate 1",55034150,"Condition 3","cccDNA"
48,"Replicate 2",61912731.25,"Condition 3","cccDNA"
48,"Replicate 3",51535759.375,"Condition 3","cccDNA"
54,"Replicate 1",33654084.375,"Condition 3","cccDNA"
54,"Replicate 2",38954212.5,"Condition 3","cccDNA"
54,"Replicate 3",35961746.875,"Condition 3","cccDNA"
60,"Replicate 1",26341940.625,"Condition 3","cccDNA"
60,"Replicate 2",23829601.5625,"Condition 3","cccDNA"
60,"Replicate 3",20654700,"Condition 3","cccDNA"
2,"Replicate 1",70573.2299804688,"Condition 4","cccDNA"
2,"Replicate 2",66674.5971679688,"Condition 4","cccDNA"
2,"Replicate 3",60658.0993652344,"Condition 4","cccDNA"
4,"Replicate 1",354827.270507812,"Condition 4","cccDNA"
4,"Replicate 2",329200.146484375,"Condition 4","cccDNA"
4,"Replicate 3",252525.146484375,"Condition 4","cccDNA"
6,"Replicate 1",6513857.8125,"Condition 4","cccDNA"
6,"Replicate 2",4983666.796875,"Condition 4","cccDNA"
6,"Replicate 3",4617546.09375,"Condition 4","cccDNA"
9,"Replicate 1",36522378.125,"Condition 4","cccDNA"
9,"Replicate 2",34967931.25,"Condition 4","cccDNA"
9,"Replicate 3",30280865.625,"Condition 4","cccDNA"
12,"Replicate 1",80523187.5,"Condition 4","cccDNA"
12,"Replicate 2",88052343.75,"Condition 4","cccDNA"
12,"Replicate 3",89047718.75,"Condition 4","cccDNA"
18,"Replicate 1",144855675,"Condition 4","cccDNA"
18,"Replicate 2",181279112.5,"Condition 4","cccDNA"
18,"Replicate 3",149084537.5,"Condition 4","cccDNA"
24,"Replicate 1",134254225,"Condition 4","cccDNA"
24,"Replicate 2",188937375,"Condition 4","cccDNA"
24,"Replicate 3",165718100,"Condition 4","cccDNA"
30,"Replicate 1",168848787.5,"Condition 4","cccDNA"
30,"Replicate 2",166647425,"Condition 4","cccDNA"
30,"Replicate 3",168399237.5,"Condition 4","cccDNA"
32,"Replicate 1",98492400,"Condition 4","cccDNA"
