2,65968.64217,5000.
4,312184.1878,53200.
6,5.371690234e6,1.01e6
9,33923725,3.25e6
12,8.587441667e7,4.66e6
18,1.584064417e8,1.99e7
24,162969900,2.74e7
30,204704800,9.3e6
36,1.550150896e8,6.11e7
42,2.527362417e8,3.42e6
48,2.768061792e8,8.21e7
54,341319500,2.72e7
60,399623350,2.3e7
