0,924558.6348175064,1.1066362850044473
3,3.935903555183888e7,1.1530399505531739
6,7.492628070168267e8,1.0870215325319765
9,1.133035754920752e9,1.4028150256726313
11,1.1450961539488463e9,1.1603906960637342
13,1.214111100942559e9,1.0561906121880524
15,6.733880296962677e8,1.1015067732367583
18,6.90784736689965e8,1.111047649685451
20,5.1883282285761255e8,1.0276211402403403
22,2.9489728758260334e8,1.0300166380470717
24,3.57415883853809e8,1.069193315689253
27,2.539968390919529e8,1.0222325319359118
30,2.4783443919079515e8,1.0327192966237078
36,1.6826942628358293e8,1.0941549060098796
42,5.9347523897931606e7,1.0381663595144066
48,5.62881126582413e7,1.2684631555665964
