0,85765.19847848262,0.083184705,-0.083184705
3,790959.9669477511,0.027214833,-0.027214833
6,1.711400032891475e7,0.012795969,-0.012795969
9,4.195623169001794e7,0.106656503,-0.106656503
11,4.894028205838738e7,0.076164177,-0.076164177
13,5.773486252048465e7,0.017681011,-0.017681011
15,3.2636226910860788e7,0.050452207,-0.050452207
18,2.6611765571395002e7,0.049931477,-0.049931477
20,2.4002383199302375e7,0.016991075,-0.016991075
22,1.7425513424879104e7,0.061152124,-0.061152124
24,1.5722428811752157e7,0.078352303,-0.078352303
27,1.2395051655525405e7,0.049549373,-0.049549373
30,7.112574395118001e6,0.05118649,-0.05118649
36,1.0078595236977603e7,0.051006749,-0.051006749
48,7.147588312214225e6,0.087872743,-0.087872743
