2,330833.3333,86470.12972
4,2.685833333e7,3.361206381e6
6,4.458333333e8,121715173
9,1947500000,6.089488895e8
12,3950833333,1473750177
18,4041666667,128290036
24,3050000000,4.380353867e8
30,3430806458,195030522
32,2738768542,4.058139875e8
34,2820642083,1.168833334e8
36,2076969740,209459785
39,1792154583,2.390649028e8
42,2212548281,7.559452862e8
45,1370780417,3.61468565e6
47,9.775320052e8,4.314944543e7
49,8.312726563e8,1.622943375e8
51,6.401003516e8,4.033343293e7
54,1128973438,3.172539814e8
57,7.343297917e8,8.291986522e7
60,7.380179948e8,8.315155347e7
