2,0.1,0
4,1.814980313e6,3.455379123e6
6,2.042204547e7,4.344393156e6
9,5.028903359e7,1.380937367e7
12,1.104680936e8,6.717416371e7
18,3.155878386e8,1.170989853e8
24,5.450157286e8,4.185042991e8
30,4.370735286e8,2.333011482e8
32,2.364297574e8,1.419158218e8
34,9.59147024e7,2.331992591e7
36,5.72184199e7,5.184123078e7
39,3.181574365e7,1.289898196e7
42,2.933135627e7,9.849598247e6
47,1.805125627e7,1.088280435e7
49,1.293895846e7,2.420277251e7
51,1.088732721e7,1.261010765e7
54,1.297617127e7,3.874405542e6
57,9.558898145e6,1.425538236e7
60,1.086194846e7,1.318834359e7
